title	author	translator	publish	time	price	grade	commentnumber
追风筝的人	[美] 卡勒德·胡赛尼	 李继宏	 上海人民出版社	2006	29.00元	8.9	303966
小王子	[法] 圣埃克苏佩里	 马振聘	 人民文学出版社	2003	22.00元	9.0	236481
围城	钱锺书		 人民文学出版社	1991	19.00	8.9	195841
解忧杂货店	[日] 东野圭吾	 李盈春	 南海出版公司	2014	39.50元	8.6	268659
活着	余华		 南海出版公司	1998	12.00元	9.1	141581
白夜行	[日] 东野圭吾	 刘姿君	 南海出版公司	2008	29.80元	9.1	205168
挪威的森林	[日] 村上春树	 林少华	 上海译文出版社	2001	18.80元	8.0	191900
嫌疑人X的献身	[日] 东野圭吾	 刘子倩	 南海出版公司	2008	28.00	8.9	157965
三体                                   : “地球往事”三部曲之一	刘慈欣		 重庆出版社	2008	23.00	8.8	160270
不能承受的生命之轻	[捷克] 米兰·昆德拉	 许钧	 上海译文出版社	2003	23.00元	8.5	138384
红楼梦	[清] 曹雪芹 著		 人民文学出版社	1996	59.70元	9.6	127534
梦里花落知多少	郭敬明		 春风文艺出版社	2003	20.00元	7.1	148693
达·芬奇密码	[美] 丹·布朗	 朱振武	 上海人民出版社	2004	28.00元	8.2	130315
看见	柴静		 广西师范大学出版社	2013	39.80元	8.8	126947
百年孤独	[哥伦比亚] 加西亚·马尔克斯	 范晔	 南海出版公司	2011	39.50元	9.2	125827
1988：我想和这个世界谈谈	韩寒		 国际文化出版公司	2010	25.00元	7.9	122817
何以笙箫默	顾漫		 朝华出版社	2007	15.00元	7.8	120858
平凡的世界（全三部）	路遥		 人民文学出版社	2005	64.00元	9.0	105245
简爱	[英] 夏洛蒂·勃朗特		 世界图书出版公司	2003	18.00元	8.5	110899
哈利·波特与魔法石	[英] J. K. 罗琳	 苏农	 人民文学出版社	2000	19.50元	9.0	89587
白夜行	东野圭吾	 刘姿君	 南海出版公司	2013	39.50元	9.2	107734
三体Ⅱ                                   : 黑暗森林	刘慈欣		 重庆出版社	2008	32.00	9.3	94949
飘	[美国] 玛格丽特·米切尔	 李美华	 译林出版社	2000	40.00元	9.3	81097
送你一颗子弹	刘瑜		 上海三联书店	2010	25.00元	8.6	91344
三体Ⅲ                                   : 死神永生	刘慈欣		 重庆出版社	2010	38.00元	9.2	94127
天才在左 疯子在右                                   : 国内第一本精神病人访谈手记	高铭		 武汉大学出版社	2010	29.80元	8.2	95768
傲慢与偏见	[英] 奥斯丁	 张玲	 人民文学出版社	1993	13.00元	8.8	87755
倾城之恋	张爱玲		 花城出版社	1997	11.00	8.5	90207
三重门	韩寒		 作家出版社	2000	16.00	7.4	96949
杜拉拉升职记	李可		 陕西师范大学出版社	2007	26.00元	7.8	89907
明朝那些事儿（壹）                                   : 洪武大帝	当年明月		 中国友谊出版公司	2006	24.80	8.7	85395
哈利·波特与阿兹卡班的囚徒	[英] J. K. 罗琳	 郑须弥	 人民文学出版社	2000	26.50元	8.9	75035
目送	龙应台		 生活·读书·新知三联书店	2009	39.00元	8.7	84260
情人	[法] 玛格丽特·杜拉斯	 王道乾	 上海译文出版社	2005	20.00元	8.1	87702
哈利·波特与密室	[英] J. K. 罗琳	 马爱新	 人民文学出版社	2000	22.00元	8.9	72635
万历十五年	[美] 黄仁宇		 生活·读书·新知三联书店	1997	18.00元	8.9	64511
我们仨	杨绛		 生活·读书·新知三联书店	2003	18.80元	8.7	84117
幻城	郭敬明		 春风文艺出版社	2003	28.00元	7.0	91663
致我们终将逝去的青春	辛夷坞		 朝华出版社	2007	25.00元	7.8	82381
1Q84 BOOK 1                                   : 4月～6月	[日] 村上春树	 施小炜	 南海出版公司	2010	36.00元	8.3	79724
狼图腾	姜戎		 长江文艺出版社	2004	32.00元	8.3	79609
微微一笑很倾城	顾漫		 江苏文艺出版社	2009	25.00	8.0	79703
独唱团（第一辑）	韩寒 主编		 书海出版社	2010	16.00元	7.8	80507
莲花	安妮宝贝		 作家出版社	2006	25.00元	8.0	78420
